"id","bag_id","naam","lat","lon","geonames","tgn"
"404","1355","Scharmer","53.1995273024","6.71654806601","http://www.geonames.org/2747677","http://vocab.getty.edu/tgn/7269466"
"405","1541","Bergentheim","52.5198057532","6.61911986141","http://www.geonames.org/2759141","http://vocab.getty.edu/tgn/7259965"
"406","1356","Schildwolde","53.2372162226","6.80615326778","http://www.geonames.org/2747570","http://vocab.getty.edu/tgn/1048091"
"407","1542","Brucht","52.5465850679","6.61526616111","http://www.geonames.org/2758206","http://vocab.getty.edu/tgn/7262727"
"408","1357","Siddeburen","53.2452312589","6.87748960667","http://www.geonames.org/2747343","http://vocab.getty.edu/tgn/1048099"
"409","1367","Zweins","53.190623825","5.60286121762","http://www.geonames.org/2743507","http://vocab.getty.edu/tgn/7274467"
"410","1358","Slochteren","53.2136330921","6.79157273484","http://www.geonames.org/2747143","http://vocab.getty.edu/tgn/1048115"
"411","3299","Vlieland","53.2197317372","5.03462657784","http://www.geonames.org/2749334","http://vocab.getty.edu/tgn/1048012"
"412","1359","Steendam","53.2776200396","6.84646255269","http://www.geonames.org/2746797","http://vocab.getty.edu/tgn/7272023"
"413","1363","Hitzum","53.1640403714","5.51816630877","http://www.geonames.org/2754044","http://vocab.getty.edu/tgn/7266791"
"414","1364","Achlum","53.1523762518","5.49803373297","http://www.geonames.org/2760053","http://vocab.getty.edu/tgn/7258110"
"415","1375","Oosterbierum","53.2372745697","5.50963112752","http://www.geonames.org/2749500","http://vocab.getty.edu/tgn/7267544"
"416","1368","Peins","53.2067098741","5.59882663014","http://www.geonames.org/2748674","http://vocab.getty.edu/tgn/7268247"
"417","1369","Schalsum","53.1991545466","5.57596016982","http://www.geonames.org/2747698","http://vocab.getty.edu/tgn/7269487"
"418","1370","Ried","53.2205684376","5.58905443745","http://www.geonames.org/2748168","http://vocab.getty.edu/tgn/7267595"
"419","1371","Boer","53.213365902","5.56322257365","http://www.geonames.org/2758747","http://vocab.getty.edu/tgn/7257683"
"420","1372","Dongjum","53.2091153311","5.542114747","http://www.geonames.org/2756719","http://vocab.getty.edu/tgn/7260277"
"421","1373","Sexbierum","53.2191514881","5.49103803208","http://www.geonames.org/2747380","http://vocab.getty.edu/tgn/7270625"
"422","1374","Pietersbierum","53.2132492487","5.46003508928","http://www.geonames.org/2748598","http://vocab.getty.edu/tgn/7268515"
"423","1378","Firdgum","53.247656119","5.56218530954","http://www.geonames.org/2755902","http://vocab.getty.edu/tgn/7260987"
"424","1379","Olst","52.3372643649","6.13295236438","http://www.geonames.org/2749626","http://vocab.getty.edu/tgn/1048007"
"425","1380","Wijhe","52.4016655174","6.17041623002","http://www.geonames.org/2744489","http://vocab.getty.edu/tgn/1048240"
"426","1381","Wesepe","52.3330642386","6.20408226277","http://www.geonames.org/2744818","http://vocab.getty.edu/tgn/7273208"
"427","1382","Welsum","52.3288536681","6.08759192983","http://www.geonames.org/2744846","http://vocab.getty.edu/tgn/7273106"
"428","1383","Marle","52.4147177247","6.12351394406","http://www.geonames.org/2751139","http://vocab.getty.edu/tgn/7269530"
"429","1384","Veldhoven","51.4118948495","5.38325245","http://www.geonames.org/2745706","http://vocab.getty.edu/tgn/1048182"
"430","1385","Abbenbroek","51.841002142","4.22608299264","http://www.geonames.org/2760075","http://vocab.getty.edu/tgn/7257918"
"431","1417","Weerselo","52.3444079106","6.86661109872","http://www.geonames.org/2744915","http://vocab.getty.edu/tgn/7273867"
"432","1386","Geervliet","51.8538080808","4.26453198684","http://www.geonames.org/2755666","http://vocab.getty.edu/tgn/7261870"
"433","1387","Heenvliet","51.85989311","4.22398900005","http://www.geonames.org/2754687","http://vocab.getty.edu/tgn/7266007"
"434","1422","Drieborg","53.2674381723","7.1740013179","http://www.geonames.org/2756616","http://vocab.getty.edu/tgn/7260731"
"435","1388","Oudenhoorn","51.815823359","4.18431487362","http://www.geonames.org/2749044","http://vocab.getty.edu/tgn/7269325"
"436","1423","Oudezijl","53.1865774087","7.19922437714","http://www.geonames.org/2748962","http://vocab.getty.edu/tgn/7267204"
"437","1389","Simonshaven","51.8261472353","4.28667816695","http://www.geonames.org/2747316","http://vocab.getty.edu/tgn/7270690"
"438","1390","Zuidland","51.8073744339","4.23739198352","http://www.geonames.org/2743683","http://vocab.getty.edu/tgn/7274259"
"439","1475","Steyl","51.3345154606","6.12454609831","http://www.geonames.org/2746751",
"440","1476","Belfeld","51.3058495492","6.12469868563","http://www.geonames.org/2759256","http://vocab.getty.edu/tgn/1047641"
"441","1392","Breukelen","52.1680388027","4.9994740667","http://www.geonames.org/2758333","http://vocab.getty.edu/tgn/1047677"
